questionID,totalInteractions,hints,attempts,correct,compiles,errorFreeCompiles,runs,hNOc, total, topic,
54f8d3929f61e74368f3e2e6,686,380,126,74,0,0,0,46,106,54e28dd6b1d420f599280526,IO
54fca8d89f61e74368f3e3bc,519,231,155,45,0,0,0,59,88,54e28dd6b1d420f599280526,IO
54fa320a9f61e74368f3e2f3,1217,404,282,117,137,33,32,90,212,54fa30dd9f61e74368f3e2f2,Arrays
54fa3c8b9f61e74368f3e2f6,1639,566,84,33,449,165,188,47,154,54fa30dd9f61e74368f3e2f2,Arrays
54fbbc8e9f61e74368f3e33a,1000,510,45,21,162,75,84,55,103,54fa30dd9f61e74368f3e2f2,Arrays
54fbb3659f61e74368f3e339,331,90,126,48,0,0,0,34,67,54fa30dd9f61e74368f3e2f2,Arrays
54fa37b89f61e74368f3e2f5,427,102,145,74,0,0,0,43,106,54fa30dd9f61e74368f3e2f2,Arrays
54fa36a39f61e74368f3e2f4,1909,690,146,83,412,181,208,65,189,54fa30dd9f61e74368f3e2f2,Arrays
54fcade69f61e74368f3e3c2,612,226,37,17,130,63,69,40,70,54fa30dd9f61e74368f3e2f2,Arrays
56314bff8da3f4d4d7b1b32b,385,159,129,33,0,0,0,43,64,54fa30dd9f61e74368f3e2f2,Arrays
5527faf28bc4e827149df4a8,1246,199,267,148,222,87,112,35,211,5527f9d98bc4e827149df4a7,FinalPrep1to4
5527fc148bc4e827149df4a9,659,117,236,151,0,0,0,25,155,5527f9d98bc4e827149df4a7,FinalPrep1to4
5527fd538bc4e827149df4ac,868,307,263,144,0,0,0,79,154,5527f9d98bc4e827149df4a7,FinalPrep1to4
5527fffb8bc4e827149df4b1,2513,614,141,57,651,410,463,59,177,5527f9d98bc4e827149df4a7,FinalPrep1to4
552809c48bc4e827149df4c2,711,193,260,123,0,0,0,59,135,5527f9d98bc4e827149df4a7,FinalPrep1to4
552808468bc4e827149df4bc,1756,610,104,62,399,202,251,23,128,5527f9d98bc4e827149df4a7,FinalPrep1to4
5528047c8bc4e827149df4ba,589,138,186,129,0,0,0,27,136,5527f9d98bc4e827149df4a7,FinalPrep1to4
5528024d8bc4e827149df4b7,793,291,233,128,0,1,0,48,140,5527f9d98bc4e827149df4a7,FinalPrep1to4
5528184a8bc4e827149df4d0,1319,422,241,107,195,87,94,67,173,552816458bc4e827149df4c8,FinalPrep5to9
55281cb48bc4e827149df4d9,1911,524,113,70,528,249,278,48,149,552816458bc4e827149df4c8,FinalPrep5to9
552869488bc4e827149df4f4,1419,291,76,42,411,223,241,42,135,552816458bc4e827149df4c8,FinalPrep5to9
55286e858bc4e827149df4fb,1248,359,92,64,276,178,164,41,115,552816458bc4e827149df4c8,FinalPrep5to9
552884958bc4e827149df507,1388,527,264,120,146,62,67,102,202,552881158bc4e827149df506,FinalPrep10to13
5528946f8bc4e827149df50d,1395,324,107,74,430,159,184,28,117,552881158bc4e827149df506,FinalPrep10to13
552888308bc4e827149df509,1476,368,123,89,349,190,209,37,148,552881158bc4e827149df506,FinalPrep10to13
55288a8c8bc4e827149df50b,706,319,186,82,0,0,0,57,119,552881158bc4e827149df506,FinalPrep10to13
556caf4c502cc43ec04c68dc,1345,344,392,174,86,40,52,77,257,556ca495502cc43ec04c68b4,For-loopsReading
556cb0be502cc43ec04c68dd,998,277,344,175,0,0,0,52,202,556ca495502cc43ec04c68b4,For-loopsReading
556cb1d0502cc43ec04c68de,1369,618,409,147,0,0,0,89,195,556ca495502cc43ec04c68b4,For-loopsReading
556cb283502cc43ec04c68df,1172,584,319,114,0,0,0,63,155,556ca495502cc43ec04c68b4,For-loopsReading
5606e9efed37fe98ed0543c1,1891,414,438,208,204,159,186,79,282,556ca538502cc43ec04c68b7,StringPractice
5606ebe9ed37fe98ed0543c2,1176,398,484,114,0,0,0,83,180,556ca538502cc43ec04c68b7,StringPractice
56144b78b3d6aa670a1e1e45,643,116,256,125,0,0,0,41,146,556ca538502cc43ec04c68b7,StringPractice
56144bd2b3d6aa670a1e1e46,605,85,200,159,0,0,0,20,161,556ca538502cc43ec04c68b7,StringPractice
56144c5cb3d6aa670a1e1e52,879,177,395,141,0,0,0,61,166,556ca538502cc43ec04c68b7,StringPractice
56144cc4b3d6aa670a1e1e61,533,52,223,121,0,0,0,19,137,556ca538502cc43ec04c68b7,StringPractice
55ce39edc11935d3c4f46b6d,784,419,174,76,0,0,0,55,115,55ce34bfc11935d3c4f46b6b,MoreFinalReview
55ce3977c11935d3c4f46b6c,2108,684,164,79,470,249,274,55,188,55ce34bfc11935d3c4f46b6b,MoreFinalReview
55ce3a7fc11935d3c4f46b6e,1671,769,64,43,295,180,191,66,129,55ce34bfc11935d3c4f46b6b,MoreFinalReview
55ce3a8dc11935d3c4f46b6f,1032,195,68,0,369,149,140,57,111,55ce34bfc11935d3c4f46b6b,MoreFinalReview
55ce3c82c11935d3c4f46b70,1908,781,98,28,417,239,236,54,109,55ce34bfc11935d3c4f46b6b,MoreFinalReview
55ce3dfac11935d3c4f46b71,1008,480,44,21,197,86,110,34,70,55ce34bfc11935d3c4f46b6b,MoreFinalReview
55ce8001c11935d3c4f46c03,329,226,44,21,0,0,0,27,38,55ce34bfc11935d3c4f46b6b,MoreFinalReview
560be3a7b3d6aa670a1e12c0,1703,103,221,186,360,277,287,11,269,560be0f4b3d6aa670a1e129b,ErrorCode
560d9391b3d6aa670a1e1305,1501,110,197,160,411,208,195,9,220,560be0f4b3d6aa670a1e129b,ErrorCode
560be4cbb3d6aa670a1e12c1,1190,58,186,175,206,184,164,7,217,560be0f4b3d6aa670a1e129b,ErrorCode
560be751b3d6aa670a1e12c4,1229,58,200,181,227,175,169,7,219,560be0f4b3d6aa670a1e129b,ErrorCode
560d928ab3d6aa670a1e1304,1258,86,206,171,273,169,138,7,215,560be0f4b3d6aa670a1e129b,ErrorCode
560d9558b3d6aa670a1e1306,1408,228,182,149,351,154,156,13,188,560be0f4b3d6aa670a1e129b,ErrorCode
56a7cd99c478dbdffc719130,1030,449,41,16,223,100,116,32,85,54dce1fd04e78631e67f72eb,MethodWriting
56d1f3199d6ced26663f7325,881,286,44,14,238,85,102,41,112,54e28dd6b1d420f599280526,IO
56d1fb309d6ced26663f7344,569,307,17,5,94,51,50,29,45,54fa30dd9f61e74368f3e2f2,Arrays
56a68a49c478dbdffc719065,1661,192,150,53,458,320,352,19,136,5527f9d98bc4e827149df4a7,FinalPrep1to4
